지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
0,전국,2021-09-20,0.1,42.1,백령도,13.9,백령도
0,전국,2021-09-19,0,0,"백령도,인천,서산,포항",0,"백령도,인천,서산,포항"
0,전국,2021-09-18,0.2,7.8,속초,6.7,속초
0,전국,2021-09-17,15.7,155,제주,71.7,제주
0,전국,2021-09-16,0.9,84.7,성산,27.6,성산
0,전국,2021-09-15,0.1,44.3,서귀포,18.9,서귀포
0,전국,2021-09-14,3,219.7,서귀포,67.2,서귀포
0,전국,2021-09-13,0.2,72.7,서귀포,13.8,서귀포
0,전국,2021-09-12,0,0.2,영덕,0.2,영덕
0,전국,2021-09-11,0,,,,
0,전국,2021-09-10,0.5,15.8,고산,4.9,고산
0,전국,2021-09-09,0,0.1,"해남,진도군",0.1,"해남,진도군"
0,전국,2021-09-08,0.6,5.6,속초,2.6,속초
0,전국,2021-09-07,11.4,43.4,철원,15.5,고산
0,전국,2021-09-06,9.7,48.1,보령,17.1,서산
0,전국,2021-09-05,1.1,18.1,서귀포,12.7,서귀포
0,전국,2021-09-04,0.1,2.4,포항,2.4,포항
0,전국,2021-09-03,1.1,87,서귀포,61,서귀포
0,전국,2021-09-02,1.8,89.5,고산,73.8,고산
0,전국,2021-09-01,38.5,147.4,홍성,63.3,서산
0,전국,2021-08-31,14.5,82.7,인천,20.9,영천
0,전국,2021-08-30,0.4,24.5,순천,24.1,순천
0,전국,2021-08-29,11.5,37.5,부안,25.8,영광군
0,전국,2021-08-28,0.3,6.3,부산,4.5,김해시
0,전국,2021-08-27,14.8,89.2,정읍,29.4,전주
0,전국,2021-08-26,0.4,12.8,백령도,12.6,백령도
0,전국,2021-08-25,21.9,146.2,부산,70.2,부산
0,전국,2021-08-24,38.3,127.1,포항,64.9,울산
0,전국,2021-08-23,44.5,149.3,거제,81.6,통영
0,전국,2021-08-22,0.2,69.9,서귀포,40.7,고산
0,전국,2021-08-21,46.9,185.7,남해,73.5,남해
0,전국,2021-08-20,0.5,46.6,백령도,31.7,백령도
